Sahip,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%
FATMA ŞANSLI,1198.0,189.0,185.0,143.0,129.0,124.0,16.0,15.0,12.0,11.0,10.0
FRANCESCO SPONZA,1315.0,187.0,174.0,194.0,134.0,149.0,14.0,13.0,15.0,10.0,11.0
NAİF KARAKEÇİ,2035.0,186.0,229.0,196.0,212.0,205.0,9.0,11.0,10.0,10.0,10.0
İLYAS İLBEY,1582.0,183.0,153.0,181.0,156.0,149.0,12.0,10.0,11.0,10.0,9.0
NASRİ ARTAR,1611.0,183.0,184.0,203.0,211.0,142.0,11.0,11.0,13.0,13.0,9.0
HAKAN S. ÖZCAN,1584.0,182.0,192.0,179.0,166.0,166.0,11.0,12.0,11.0,10.0,10.0
MEHMET KURT,1246.0,181.0,155.0,158.0,121.0,113.0,15.0,12.0,13.0,10.0,9.0
ORHAN BEKMEZCİ,1279.0,180.0,161.0,125.0,139.0,97.0,14.0,13.0,10.0,11.0,8.0
LEVENT SARIKAYA,1343.0,179.0,179.0,157.0,130.0,138.0,13.0,13.0,12.0,10.0,10.0
BERRİN GEDİK,1606.0,179.0,182.0,197.0,167.0,189.0,11.0,11.0,12.0,10.0,12.0
MÜCAHİT YILDIZHAN,1335.0,177.0,172.0,151.0,140.0,110.0,13.0,13.0,11.0,10.0,8.0
DUYGU FATURA,1493.0,177.0,180.0,158.0,176.0,178.0,12.0,12.0,11.0,12.0,12.0
HALİL KILIÇ,1991.0,174.0,182.0,213.0,219.0,187.0,9.0,9.0,11.0,11.0,9.0
VEYSEL KAHRAMAN,1230.0,173.0,143.0,143.0,117.0,130.0,14.0,12.0,12.0,10.0,11.0
BESİRE GÜNDÜZELİ,1305.0,173.0,136.0,140.0,155.0,137.0,13.0,10.0,11.0,12.0,10.0
EYLEM DERYAL,1485.0,173.0,172.0,159.0,161.0,158.0,12.0,12.0,11.0,11.0,11.0
ADEM ERDÖLEK,1388.0,172.0,164.0,152.0,166.0,148.0,12.0,12.0,11.0,12.0,11.0
F.SEDAT DAĞYUDAN,1770.0,171.0,207.0,196.0,204.0,201.0,10.0,12.0,11.0,12.0,11.0
FETHİ ATAN,1234.0,168.0,144.0,143.0,124.0,105.0,14.0,12.0,12.0,10.0,9.0
