Aygır,Ülke Adı,Irk Adı,Koşan Tay Adet,Kazanan Yavru Adet,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%,Kazanç
DIVINE LIGHT,JAPONYA,İngiliz,181.0,117.0,4540.0,517.0,524.0,505.0,472.0,412.0,11.0,12.0,11.0,10.0,9.0,"35.723.705,45"
AYABAKAN,TÜRKİYE,Arap,194.0,138.0,4218.0,512.0,466.0,488.0,394.0,381.0,12.0,11.0,12.0,9.0,9.0,"112.951.227,50"
OKAWANGO,ABD,İngiliz,171.0,121.0,4338.0,507.0,483.0,465.0,465.0,385.0,12.0,11.0,11.0,11.0,9.0,"32.362.909,39"
SEZGİN,TÜRKİYE,Arap,66.0,55.0,3877.0,505.0,530.0,489.0,480.0,396.0,13.0,14.0,13.0,12.0,10.0,",00"
UÇANBEY,TÜRKİYE,Arap,266.0,152.0,5382.0,498.0,521.0,568.0,535.0,507.0,9.0,10.0,11.0,10.0,9.0,"98.451.531,25"
DISTANT RELATIVE,İRLANDA,İngiliz,174.0,106.0,4262.0,495.0,455.0,453.0,408.0,376.0,12.0,11.0,11.0,10.0,9.0,"23.402.425,55"
BARNATO,ABD,İngiliz,189.0,107.0,4659.0,489.0,455.0,458.0,492.0,445.0,10.0,10.0,10.0,11.0,10.0,"12.992.315,49"
PRINCE TUDOR,İNGİLTERE,İngiliz,63.0,54.0,1743.0,488.0,309.0,258.0,215.0,215.0,28.0,18.0,15.0,12.0,12.0,",00"
ODİNHAN,TÜRKİYE,Arap,273.0,139.0,5462.0,487.0,501.0,522.0,568.0,560.0,9.0,9.0,10.0,10.0,10.0,"38.927.206,85"
YOZGATLI.1,TÜRKİYE,Arap,79.0,67.0,3843.0,482.0,386.0,394.0,400.0,377.0,13.0,10.0,10.0,10.0,10.0,"656.035,50"
TAŞKENT,TÜRKİYE,Arap,75.0,67.0,4492.0,480.0,425.0,436.0,421.0,395.0,11.0,9.0,10.0,9.0,9.0,"573.980,50"
YAŞARCIK,TÜRKİYE,Arap,232.0,142.0,5570.0,476.0,499.0,471.0,491.0,568.0,9.0,9.0,8.0,9.0,10.0,"40.088.438,75"
SCARFACE,TÜRKİYE,İngiliz,287.0,145.0,4801.0,466.0,508.0,485.0,548.0,514.0,10.0,11.0,10.0,11.0,11.0,"83.334.379,23"
VOLGA.2,TÜRKİYE,Arap,109.0,76.0,3415.0,462.0,392.0,378.0,361.0,315.0,14.0,11.0,11.0,11.0,9.0,"15.261.926,00"
SMART ROBIN,JAPONYA,İngiliz,259.0,138.0,4700.0,460.0,518.0,499.0,507.0,465.0,10.0,11.0,11.0,11.0,10.0,"110.880.377,51"
RED BISHOP,ABD,İngiliz,204.0,125.0,4712.0,454.0,475.0,475.0,484.0,455.0,10.0,10.0,10.0,10.0,10.0,"28.554.946,14"
SANCAKBEYİ,TÜRKİYE,Arap,200.0,118.0,5115.0,450.0,461.0,467.0,484.0,500.0,9.0,9.0,9.0,9.0,10.0,"20.699.438,75"
HAKEEM,ABD,İngiliz,225.0,122.0,3714.0,444.0,421.0,387.0,424.0,407.0,12.0,11.0,10.0,11.0,11.0,"93.539.865,00"
BİRADER,TÜRKİYE,Arap,82.0,60.0,4035.0,434.0,422.0,457.0,416.0,420.0,11.0,10.0,11.0,10.0,10.0,"17.375.147,50"
EMİROĞLU,TÜRKİYE,Arap,141.0,100.0,4081.0,431.0,404.0,354.0,375.0,310.0,11.0,10.0,9.0,9.0,8.0,"14.685.675,00"
APPROVE,İRLANDA,İngiliz,193.0,120.0,3405.0,429.0,432.0,384.0,406.0,378.0,13.0,13.0,11.0,12.0,11.0,"108.565.890,00"
CAPTAIN RIO,İNGİLTERE,İngiliz,212.0,131.0,3398.0,418.0,350.0,343.0,375.0,368.0,12.0,10.0,10.0,11.0,11.0,"70.337.020,63"
ÖZHABER,TÜRKİYE,Arap,151.0,109.0,3570.0,416.0,369.0,361.0,363.0,351.0,12.0,10.0,10.0,10.0,10.0,"73.318.279,38"
GALETTO,FRANSA,İngiliz,188.0,108.0,4129.0,415.0,381.0,408.0,346.0,384.0,10.0,9.0,10.0,8.0,9.0,"15.287.735,00"
SADUN,TÜRKİYE,Arap,108.0,71.0,4856.0,409.0,502.0,503.0,484.0,469.0,8.0,10.0,10.0,10.0,10.0,"7.109.754,25"
ŞİMŞEĞİNOĞLU,TÜRKİYE,Arap,196.0,116.0,3861.0,401.0,382.0,351.0,334.0,336.0,10.0,10.0,9.0,9.0,9.0,"52.355.411,25"
BODRUM,TÜRKİYE,Arap,62.0,56.0,3919.0,399.0,377.0,430.0,456.0,435.0,10.0,10.0,11.0,12.0,11.0,"6.014.327,50"
POWERSCOURT,İNGİLTERE,İngiliz,241.0,124.0,4841.0,399.0,434.0,510.0,541.0,518.0,8.0,9.0,11.0,11.0,11.0,"48.282.287,50"
SÜLO,TÜRKİYE,Arap,124.0,90.0,4175.0,398.0,437.0,420.0,399.0,370.0,10.0,10.0,10.0,10.0,9.0,"19.180.550,00"
OUR GUILE,İNGİLTERE,İngiliz,88.0,64.0,2150.0,397.0,377.0,350.0,310.0,241.0,18.0,18.0,16.0,14.0,11.0,",00"
HAVUÇEROL,TÜRKİYE,Arap,65.0,54.0,3574.0,396.0,412.0,380.0,373.0,320.0,11.0,12.0,11.0,10.0,9.0,"4.079.810,00"
HİLALÜZZAMAN.14,TÜRKİYE,Arap,47.0,40.0,2525.0,389.0,390.0,355.0,310.0,255.0,15.0,15.0,14.0,12.0,10.0,",00"
EMAEL,POLONYA(A),Arap,72.0,54.0,2922.0,389.0,288.0,271.0,251.0,245.0,13.0,10.0,9.0,9.0,8.0,"24.433.568,75"
ARASLI,TÜRKİYE,Arap,107.0,80.0,3826.0,389.0,427.0,456.0,427.0,363.0,10.0,11.0,12.0,11.0,9.0,"38.534.550,00"
BERKSOY,TÜRKİYE,Arap,233.0,136.0,4283.0,389.0,438.0,446.0,388.0,373.0,9.0,10.0,10.0,9.0,9.0,"64.754.280,00"
RİKARDO,TÜRKİYE,Arap,150.0,97.0,4064.0,388.0,397.0,347.0,409.0,392.0,10.0,10.0,9.0,10.0,10.0,"21.584.410,00"
ALNASİP,TÜRKİYE,Arap,55.0,51.0,3230.0,381.0,405.0,400.0,398.0,342.0,12.0,13.0,12.0,12.0,11.0,",00"
ÇELEBİ.1,TÜRKİYE,Arap,124.0,73.0,3466.0,373.0,321.0,316.0,273.0,304.0,11.0,9.0,9.0,8.0,9.0,"12.144.276,00"
CALABOOSE,İNGİLTERE,İngiliz,79.0,66.0,2021.0,372.0,335.0,292.0,300.0,222.0,18.0,17.0,14.0,15.0,11.0,",00"
İBOCAN,TÜRKİYE,Arap,136.0,80.0,3886.0,372.0,417.0,386.0,319.0,366.0,10.0,11.0,10.0,8.0,9.0,"21.025.058,00"
ÖZÜŞAN,TÜRKİYE,Arap,65.0,53.0,3139.0,365.0,337.0,319.0,283.0,287.0,12.0,11.0,10.0,9.0,9.0,"4.361.504,00"
HÜRBATUR,TÜRKİYE,Arap,112.0,75.0,3525.0,352.0,361.0,372.0,373.0,328.0,10.0,10.0,11.0,11.0,9.0,"18.638.878,75"
TULYAR,TÜRKİYE,Arap,33.0,32.0,2424.0,349.0,278.0,317.0,288.0,250.0,14.0,11.0,13.0,12.0,10.0,",00"
UMUTBEY,TÜRKİYE,Arap,62.0,56.0,3072.0,343.0,365.0,303.0,278.0,293.0,11.0,12.0,10.0,9.0,10.0,"11.842.202,00"
ERSOYLU,TÜRKİYE,Arap,46.0,45.0,3303.0,339.0,389.0,386.0,373.0,338.0,10.0,12.0,12.0,11.0,10.0,"2.273.419,50"
TULRAB,TÜRKİYE,Arap,49.0,41.0,2417.0,336.0,311.0,265.0,245.0,210.0,14.0,13.0,11.0,10.0,9.0,"364.632,50"
SERHANBEY,TÜRKİYE,Arap,69.0,53.0,3085.0,335.0,340.0,345.0,339.0,279.0,11.0,11.0,11.0,11.0,9.0,"6.325.813,05"
