Antrenör,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%,Antrenor Kısaltması
YASEMİN KARAKÜÇÜK,2399.0,233.0,245.0,246.0,240.0,253.0,10.0,10.0,10.0,10.0,11.0,Y.KARAKÜÇÜK
MEHMET ARSLAN.,2779.0,233.0,239.0,253.0,270.0,269.0,8.0,9.0,9.0,10.0,10.0,M.ARSLAN.
MEHMET SEMİR TAŞBEK,1353.0,232.0,163.0,163.0,134.0,124.0,17.0,12.0,12.0,10.0,9.0,M.S.TAŞBEK
DILŞA KAYA,1628.0,232.0,210.0,179.0,176.0,184.0,14.0,13.0,11.0,11.0,11.0,D.KAYA
İLKER KÖROĞLU,2436.0,232.0,224.0,247.0,246.0,248.0,10.0,9.0,10.0,10.0,10.0,İ.KÖROĞLU
SİBEL AKCI,2700.0,232.0,204.0,211.0,241.0,259.0,9.0,8.0,8.0,9.0,10.0,S.AKCI
MUHAMMED KARALI,2940.0,232.0,212.0,258.0,240.0,256.0,8.0,7.0,9.0,8.0,9.0,M.KARALI
MÜSLÜM YARDIMCI,3217.0,232.0,289.0,317.0,285.0,297.0,7.0,9.0,10.0,9.0,9.0,M.YARDIMCI
MEHMET AKKUŞ,2310.0,231.0,240.0,251.0,263.0,261.0,10.0,10.0,11.0,11.0,11.0,M.AKKUŞ
MAHMUT KEKLİK,2858.0,229.0,232.0,233.0,243.0,257.0,8.0,8.0,8.0,9.0,9.0,M.KEKLİK
RACİ ATLI,3062.0,227.0,271.0,278.0,295.0,288.0,7.0,9.0,9.0,10.0,9.0,R.ATLI
HALİS YILDIZ,1846.0,226.0,204.0,209.0,188.0,190.0,12.0,11.0,11.0,10.0,10.0,H.YILDIZ
BAVER FAHRİOĞLU,2237.0,226.0,211.0,216.0,231.0,207.0,10.0,9.0,10.0,10.0,9.0,B.FAHRİOĞLU
CEMİL TURAN,2123.0,225.0,214.0,221.0,205.0,214.0,11.0,10.0,10.0,10.0,10.0,C.TURAN
ERKUT KOCA,2790.0,225.0,271.0,249.0,243.0,291.0,8.0,10.0,9.0,9.0,10.0,E.KOCA
SATILMIŞ GÖKDEMİR,1381.0,223.0,179.0,157.0,174.0,143.0,16.0,13.0,11.0,13.0,10.0,S.GÖKDEMİR
MAHİR YILDIRIM,1445.0,223.0,217.0,173.0,165.0,145.0,15.0,15.0,12.0,11.0,10.0,M.YILDIRIM
HÜSEYİN ATAŞ,1840.0,223.0,183.0,208.0,206.0,173.0,12.0,10.0,11.0,11.0,9.0,H.ATAŞ
BEDRİ AKBULUT,1626.0,222.0,188.0,208.0,162.0,181.0,14.0,12.0,13.0,10.0,11.0,B.AKBULUT
HALİM KAYA,2527.0,222.0,229.0,237.0,257.0,249.0,9.0,9.0,9.0,10.0,10.0,H.KAYA
FARUK KEMAHLIOĞLU,3230.0,222.0,261.0,307.0,323.0,301.0,7.0,8.0,10.0,10.0,9.0,F.KEMAHLIOĞLU
İSMET AKKILIÇ,1544.0,221.0,214.0,142.0,150.0,160.0,14.0,14.0,9.0,10.0,10.0,İ.AKKILIÇ
CENK ŞAMLI,2082.0,221.0,223.0,231.0,214.0,237.0,11.0,11.0,11.0,10.0,11.0,C.ŞAMLI
EMİN TOKÇALAR,1737.0,220.0,188.0,194.0,203.0,179.0,13.0,11.0,11.0,12.0,10.0,E.TOKÇALAR
MAHMUT DOĞAN,2560.0,219.0,220.0,201.0,236.0,224.0,9.0,9.0,8.0,9.0,9.0,M.DOĞAN
ZAFER TEMUÇİN,1616.0,217.0,188.0,156.0,167.0,162.0,13.0,12.0,10.0,10.0,10.0,Z.TEMUÇİN
CUDİ ÖZKAN,2163.0,217.0,236.0,195.0,188.0,209.0,10.0,11.0,9.0,9.0,10.0,C.ÖZKAN
KEMAL ÖZTÜRK,2145.0,217.0,213.0,184.0,210.0,197.0,10.0,10.0,9.0,10.0,9.0,K.ÖZTÜRK
MEHMET YAPAROĞLU,2486.0,217.0,257.0,241.0,228.0,210.0,9.0,10.0,10.0,9.0,8.0,M.YAPAROĞLU
SEDAT ÇİFTÇİ,2310.0,217.0,210.0,202.0,243.0,211.0,9.0,9.0,9.0,11.0,9.0,S.ÇİFTÇİ
MEHMET KORKMAZ,2577.0,217.0,239.0,270.0,289.0,276.0,8.0,9.0,10.0,11.0,11.0,M.KORKMAZ
VELİ AKBULUT,1345.0,215.0,231.0,166.0,145.0,127.0,16.0,17.0,12.0,11.0,9.0,V.AKBULUT
METİN ÖZDİL,1778.0,215.0,194.0,186.0,160.0,175.0,12.0,11.0,10.0,9.0,10.0,M.ÖZDİL
RÜSTEM ALİ TEKELİ,3234.0,215.0,261.0,238.0,253.0,247.0,7.0,8.0,7.0,8.0,8.0,R.A.TEKELİ
SABAHATTİN TEKDOĞAN,1914.0,214.0,207.0,184.0,185.0,181.0,11.0,11.0,10.0,10.0,9.0,S.TEKDOĞAN
TUNCAY PELEN,1827.0,213.0,195.0,192.0,204.0,176.0,12.0,11.0,11.0,11.0,10.0,T.PELEN
BATUHAN TURGUL,1597.0,212.0,204.0,216.0,171.0,168.0,13.0,13.0,14.0,11.0,11.0,B.TURGUL
BAŞOL ÖZGÜR,3347.0,212.0,269.0,292.0,315.0,299.0,6.0,8.0,9.0,9.0,9.0,B.ÖZGÜR
SEİT KAN,1622.0,211.0,186.0,194.0,206.0,169.0,13.0,11.0,12.0,13.0,10.0,S.KAN
HAKKI TARIK DİKENCİK,2417.0,211.0,202.0,250.0,233.0,254.0,9.0,8.0,10.0,10.0,11.0,H.T.DİKENCİK
VAHİT TURAN,2242.0,211.0,230.0,211.0,218.0,225.0,9.0,10.0,9.0,10.0,10.0,V.TURAN
BAHAR GÖK,2226.0,211.0,186.0,215.0,212.0,231.0,9.0,8.0,10.0,10.0,10.0,B.GÖK
