Kısrak,Ülke Adı,Irk Adı,Koşan Tay Adet,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%,Kazanç
VOLCANIC LADY,TÜRKİYE,İngiliz,4.0,95.0,9.0,9.0,13.0,13.0,11.0,9.0,9.0,14.0,14.0,12.0,"2.218.731,25"
MEBRUKE.50,TÜRKİYE,Arap,3.0,95.0,9.0,10.0,8.0,9.0,7.0,9.0,11.0,8.0,9.0,7.0,",00"
FAZILA.10,TÜRKİYE,Arap,2.0,105.0,9.0,17.0,9.0,14.0,7.0,9.0,16.0,9.0,13.0,7.0,",00"
CAHİDE.19,TÜRKİYE,Arap,1.0,102.0,9.0,6.0,6.0,11.0,8.0,9.0,6.0,6.0,11.0,8.0,",00"
ALSEKLAVİ.16/59,TÜRKİYE,Arap,1.0,99.0,9.0,5.0,10.0,14.0,16.0,9.0,5.0,10.0,14.0,16.0,",00"
ANAZARBUS,TÜRKİYE,İngiliz,3.0,96.0,9.0,11.0,13.0,10.0,13.0,9.0,11.0,14.0,10.0,14.0,"3.269.497,50"
ALLALEM,TÜRKİYE,Arap,2.0,96.0,9.0,16.0,9.0,9.0,10.0,9.0,17.0,9.0,9.0,10.0,"2.465.111,25"
BOLERO AGAIN,İRLANDA,İngiliz,4.0,100.0,9.0,1.0,7.0,4.0,13.0,9.0,1.0,7.0,4.0,13.0,"494.876,25"
İNCİFER,TÜRKİYE,Arap,5.0,95.0,9.0,7.0,9.0,4.0,6.0,9.0,7.0,9.0,4.0,6.0,"2.346.543,75"
ANALISA,İRLANDA,İngiliz,6.0,109.0,9.0,4.0,15.0,7.0,10.0,8.0,4.0,14.0,6.0,9.0,"306.700,00"
FERUZE,TÜRKİYE,İngiliz,5.0,107.0,9.0,14.0,5.0,10.0,14.0,8.0,13.0,5.0,9.0,13.0,"19.087,00"
KARAMELA,TÜRKİYE,İngiliz,4.0,116.0,9.0,7.0,13.0,12.0,10.0,8.0,6.0,11.0,10.0,9.0,"272.850,00"
NORELLA,ALMANYA,İngiliz,5.0,114.0,9.0,8.0,8.0,19.0,11.0,8.0,7.0,7.0,17.0,10.0,"256.800,00"
SECRET MO,İNGİLTERE,İngiliz,4.0,107.0,9.0,9.0,12.0,16.0,10.0,8.0,8.0,11.0,15.0,9.0,",00"
SELİN TANEM,TÜRKİYE,İngiliz,8.0,116.0,9.0,9.0,6.0,16.0,4.0,8.0,8.0,5.0,14.0,3.0,"253.395,00"
WELLDONE,TÜRKİYE,İngiliz,7.0,118.0,9.0,5.0,6.0,8.0,11.0,8.0,4.0,5.0,7.0,9.0,"214.540,00"
ZEHRA.113,TÜRKİYE,Arap,6.0,112.0,9.0,15.0,13.0,9.0,13.0,8.0,13.0,12.0,8.0,12.0,"447.050,00"
OYUNCU.18,TÜRKİYE,Arap,3.0,117.0,9.0,5.0,10.0,13.0,7.0,8.0,4.0,9.0,11.0,6.0,"250.415,00"
TURFETÜNNUR.23,TÜRKİYE,Arap,2.0,107.0,9.0,11.0,11.0,9.0,12.0,8.0,10.0,10.0,8.0,11.0,"11.663,00"
AYLA,TÜRKİYE,Arap,3.0,116.0,9.0,14.0,12.0,8.0,10.0,8.0,12.0,10.0,7.0,9.0,"292.735,00"
NEAME.53,TÜRKİYE,Arap,3.0,106.0,9.0,7.0,11.0,14.0,19.0,8.0,7.0,10.0,13.0,18.0,"493.200,00"
NURÇİÇEK,TÜRKİYE,Arap,6.0,112.0,9.0,11.0,10.0,7.0,11.0,8.0,10.0,9.0,6.0,10.0,"323.405,00"
PIZZAZZ,İNGİLTERE,İngiliz,4.0,108.0,9.0,11.0,8.0,3.0,11.0,8.0,10.0,7.0,3.0,10.0,"264.090,00"
SMYRNA,TÜRKİYE,İngiliz,5.0,117.0,9.0,15.0,9.0,12.0,17.0,8.0,13.0,8.0,10.0,15.0,"411.750,00"
EAGLE PRINCESS,İRLANDA,İngiliz,7.0,107.0,9.0,12.0,17.0,11.0,8.0,8.0,11.0,16.0,10.0,7.0,"474.290,00"
MUJTAHIDA,İRLANDA,İngiliz,4.0,108.0,9.0,9.0,10.0,5.0,6.0,8.0,8.0,9.0,5.0,6.0,"265.920,00"
