Jokey,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%,Jokey Kısaltması
MÜCAHİT BAYIR,6514.0,652.0,677.0,718.0,721.0,698.0,10.0,10.0,11.0,11.0,11.0,M.BAYIR
ONUR YILDIZ,6149.0,650.0,659.0,678.0,681.0,694.0,11.0,11.0,11.0,11.0,11.0,O.YILDIZ
TEKİN KOLCUOĞLU,4686.0,629.0,605.0,651.0,629.0,490.0,13.0,13.0,14.0,13.0,10.0,T.KOLCUOĞLU
KEMAL KURT,10126.0,627.0,727.0,768.0,828.0,868.0,6.0,7.0,8.0,8.0,9.0,K.KURT
FURKAN YÜKSEL,6347.0,596.0,661.0,663.0,715.0,739.0,9.0,10.0,10.0,11.0,12.0,F.YÜKSEL
MUSTAFA YÜKSEL,5102.0,593.0,619.0,681.0,692.0,454.0,12.0,12.0,13.0,14.0,9.0,M.YÜKSEL
ALİ KAÇMAZ,6368.0,567.0,656.0,693.0,652.0,712.0,9.0,10.0,11.0,10.0,11.0,A.KAÇMAZ
MENDERES AVŞAR,5837.0,541.0,497.0,517.0,507.0,543.0,9.0,9.0,9.0,9.0,9.0,M.AVŞAR
BAHRİ KONUK,4930.0,527.0,585.0,627.0,645.0,514.0,11.0,12.0,13.0,13.0,10.0,B.KONUK
ALİ RIZA YILDIZ,6342.0,521.0,564.0,632.0,642.0,660.0,8.0,9.0,10.0,10.0,10.0,A.R.YILDIZ
MAHMUT TURAN,5992.0,510.0,550.0,613.0,658.0,586.0,9.0,9.0,10.0,11.0,10.0,M.TURAN
ALİ YILDIZ,3929.0,508.0,440.0,446.0,456.0,436.0,13.0,11.0,11.0,12.0,11.0,A.YILDIZ
DAVUT AKDI,4457.0,499.0,510.0,538.0,589.0,394.0,11.0,11.0,12.0,13.0,9.0,D.AKDI
ÇETİN OK,6108.0,478.0,501.0,567.0,637.0,637.0,8.0,8.0,9.0,10.0,10.0,Ç.OK
MEHMET BAYRAM,4415.0,469.0,526.0,569.0,581.0,505.0,11.0,12.0,13.0,13.0,11.0,M.BAYRAM
GÜRKAN HÜSNÜ OKER,4582.0,461.0,491.0,479.0,507.0,451.0,10.0,11.0,10.0,11.0,10.0,G.H.OKER
GÖRKEM ÖZÇELİK,4141.0,450.0,455.0,491.0,515.0,472.0,11.0,11.0,12.0,12.0,11.0,G.ÖZÇELİK
ALİ ALPAGUT,4427.0,444.0,466.0,482.0,471.0,482.0,10.0,11.0,11.0,11.0,11.0,A.ALPAGUT
MUHİTTİN KORKMAZ,4701.0,442.0,509.0,469.0,497.0,459.0,9.0,11.0,10.0,11.0,10.0,M.KORKMAZ
MEHMET TAŞKAYA,3591.0,429.0,412.0,353.0,384.0,365.0,12.0,11.0,10.0,11.0,10.0,M.TAŞKAYA
HAYDAR YÜCE,4055.0,421.0,450.0,490.0,493.0,413.0,10.0,11.0,12.0,12.0,10.0,H.YÜCE
MEHMET ALİ AKTÜRK,4047.0,410.0,381.0,412.0,398.0,393.0,10.0,9.0,10.0,10.0,10.0,M.A.AKTÜRK
MUSA DEMİR,4860.0,409.0,446.0,465.0,424.0,454.0,8.0,9.0,10.0,9.0,9.0,M.DEMİR
